Store Code,DC Code,DC Name,Nama Toko,Kelurahan,Kecamatan,Kab/Kota,Latitude,Longitude,Tipe
TW31,G165,DC BENGKULU,MAYOR RUSLAN LAHAT 1-2,,,KOTA PALEMBANG,-3.788742,103.539411,INDOMARET
TW35,G027,DC BANDUNG,BABAKAN LOA,,,KABUPATEN BANDUNG,-6.884078,107.565681,INDOMARET
TW36,G026,DC TANGERANG,RUKO TAMAN ADIYASA BLOK L /1 2,,,KABUPATEN TANGERANG,-6.326011,106.423481,INDOMARET
TW38,G260,DC BANGKA,PEDINDANG KM. 7,,,KOTA PALEMBANG,-2.170806,106.086853,INDOMARET
TW39,G265,DC ENDE ADMINISTRATIF,SULTAN HASANUDIN,,,KOTA KUPANG,-8.622233,122.223992,INDOMARET
TW3C,G033,DC TANGERANG 2,BINTARO SEKTOR 2,,,KOTA JAKARTA SELATAN,-6.272472,106.752750,INDOMARET
TW3F,G050,DC SAMARINDA,POROS KOTA BANGUN KM 14,,,KOTA SAMARINDA,-0.459133,116.898753,INDOMARET
TW3G,G092,DC BANJARMASIN,PANGGUNG,,,KOTA BANJARMASIN,-3.756756,114.766814,INDOMARET
TW3J,G257,DC STABAT,SEI MENCIRIM MEDAN KRIO,,,KOTA MEDAN,3.596647,98.551836,INDOMARET
TW3K,G107,DC PARUNG,SRENGSENG JAGAKARSA NO 23,,,KOTA JAKARTA SELATAN,-6.345114,106.829428,INDOMARET
TW3M,G005,DC BANDAR LAMPUNG,DIPONEGORO METRO,,,KOTA METRO,-5.109242,105.307411,INDOMARET
TW3N,,,ELANG RAYA,,,KABUPATEN BOGOR,-6.172486,107.036356,INDOMARET
TW3R,G157,DC LEBAK,PERTIGAAN SAMPAI,,,KABUPATEN TANGERANG,-6.341806,106.172917,INDOMARET
TW3V,G244,DC MANADO,RAYA MOLAS TONGKAINA,,,KOTA MANADO,1.569378,124.812994,INDOMARET
TW41,G113,DC BOGOR,KABANDUNGAN 2,,,KABUPATEN TANGERANG,-6.792547,106.619633,INDOMARET
TW46,G028,DC CIREBON,KEMURANG WETAN,,,KABUPATEN BOGOR,-6.887083,108.885611,INDOMARET
TW4G,G113,DC BOGOR,PURI ISKA RESIDENCE,,,KABUPATEN BOGOR,-6.778750,106.797722,INDOMARET
TW4I,G305,DC GRESIK,LINGKAR PERTAMINA,,,KOTA SURABAYA,-7.109233,111.966933,INDOMARET
TW4K,G080,DC PURWAKARTA,AHMAD YANI DAWUAN,,,KABUPATEN BOGOR,-6.392694,107.427639,INDOMARET
TW4L,,,TAMAN BRAWIJAYA III,,,KOTA JAKARTA SELATAN,-6.257158,106.805681,INDOMARET
TW4M,G105,DC BEKASI,KALIABANG BUNGUR 2,,,KOTA BEKASI,-6.198056,106.990056,INDOMARET
